"row","category","component","cost","cost_basis","purchase_date","purchase_status","notes"
"2","Camper","Hiatus camper shell","33488.64","purchase_record","","Purchased","Hiatus camper shell installed on 2026-05-07. Price is the owner-provided camper-platform basis; exact purchase date is not captured in this file."
"3","Electrical","48V house battery bank (3 x 100Ah)","1616.88","item_subtotal","2026-02-24","Purchased","Purchased 2026-02-24 from Amazon: qty 3 at $538.96 each / $1,616.88 extended, ASIN B0F7RDTQZZ. Dumfume 48V 100Ah LiFePO4 batteries; manual retained at references/Dunfume_36V_48V_100Ah_Battery_-_User_Manual.pdf. Per-battery electrical limits remain as previously documented: 51.2V nominal, recommended charge voltage 58.4V +/-0.2V, max expansion 1S4P."
"4","Electrical","MultiPlus battery-temperature sensor","0.00","included","2026-02-17","Included","Included with the MultiPlus purchase in row 12: Victron temperature sensor for MultiPlus/Quattro and GX integration. No separate cost is counted."
"5","Electrical","Victron 275A battery disconnect","34.85","purchase_record","2026-02-17","Purchased","Purchased Victron 275A ON/OFF battery switch for the 48V main service disconnect. Verify final cable bend radius, terminal covers, and accessible operation after the MultiPlus remount."
"6","Electrical","Victron Lynx Distributor","211.65","purchase_record","2026-02-24","Purchased","Purchased 2026-02-24 from Amazon: Victron Energy Lynx Distributor M10, $211.65, ASIN B0CWYX4WSH."
"7","Electrical","Battery Class T protection","229.96","purchase_record","2026-02-18","Purchased","Purchased 2026-02-18: 200A Class T Fuse Kit TFB1-200 x3 (includes JLLN-200 200A Class T fuse x3 installed) plus JLLN-200 200A spare fuse x1. Owner confirmed 2026-05-17: 3 Class T fuse holders and 4 slow-blow Class T fuses total (3 installed + 1 spare). Row 105 is ANL spare stock for F-11, not Class T."
"8","Electrical","Separate 48V negative busbar","","unknown","","Retired","Not required in the locked Lynx topology; the Lynx Distributor provides the negative bus."
"9","Electrical","Separate six-way MEGA fuse holder","","unknown","","Retired","Not required in the locked Lynx topology; the Lynx Distributor provides four fused 48V branch slots."
"10","Electrical","125A MEGA fuse stock (5)","40.65","residual_allocation","2026-02-17","Purchased","Five 125A MEGA fuses purchased for MultiPlus F-02 installed/spare stock. The $40.65 cost is the residual of the former $63.91 mixed-fuse batch after subtracting directly evidenced rows 323 and 324; it is not a receipt-level child price. Verify body-marked DC voltage suitability before use."
"11","Electrical","Victron MEGA fuse holder for Orion 12V output (F-07)","15.30","purchase_record","2026-02-23","Purchased","Purchased Victron MEGA holder for the Orion 12V output F-07 position. Use one 60A/80V fuse from row 188 on the existing 6 AWG output; this is separate from the integrated Lynx Slot 4 Orion input protection."
"12","Electrical","Victron MultiPlus-II 48/3000 inverter/charger","937.55","purchase_record","2026-02-16","Purchased","Purchased Victron MultiPlus-II 48/3000/35-50 inverter/charger, 48V and 3kVA. Lithium-profile programming and a supervised one-battery shore-charge behavior check passed; permanent remount and full AC-out/GFCI commissioning remain separate gates."
"13","Electrical","AC-in breaker/disconnect (DIN UL489 30A)","22.99","item_subtotal","2026-05-16","Purchased","Purchased 2026-05-16 from Amazon as one of two ControlGear CGMB1C30 1-pole C-trip 30A DIN UL489 miniature circuit breakers. This line owns the AC-in breaker/disconnect; the matching AC-out main is row 327."
