row,category,component,est_price,price_flag,description_notes,est_purchase_date,purchase_status
"0","META","STATUS","0","ai_set","Status: 24V Candidate Variant (non-canonical; canonical remains 48V baseline)","2/20/2026","reference_only"
"12","Power System","Inverter/Transfer Switch/Charger","1230","ai_set","[24V_CANDIDATE_STATUS:SWAP] Victron MultiPlus-II 24/3000 class target (candidate comparison baseline).","2/16/2026","In Cart"
"18","Power System","Alternator Charging","969","ai_set","[24V_CANDIDATE_STATUS:SWAP] Sterling BB1224120 (12V input to 24V output) candidate path; revalidate branch fuse and wire sizing.","2/16/2026","In Cart"
"22","Power System","Monitoring","240","user_filled","Victron Cerbo GX","2/16/2026","In Cart"
"23","Power System","Battery Monitor","93","user_filled","Victron SmartShunt 300A","2/16/2026","In Cart"
"3","Power System","Batteries (24V candidate bank)","3447","ai_set","[24V_CANDIDATE_STATUS:SWAP] Replace 3x48V with 24V bank sized to ~15kWh class (example 24V 200Ah x3 = 15.36kWh).","2/17/2026","In Cart"
"4","Power System","Battery Temp Sensor","0","user_filled","Temperature Sensor for Victron Energy Quattro, MultiPlus and GX Device (comes with multiplus)","2/17/2026","In Cart"
"5","Power System","24v disconnect","34.85","user_filled","[24V_CANDIDATE_STATUS:SWAP] Replace 48V disconnect with 24V-rated disconnect meeting candidate current envelope.","2/17/2026","In Cart"
"6","Power System","Lynx Distributor","192.47","ai_set","[24V_CANDIDATE_STATUS:KEEP] Victron Lynx Distributor M10 (LYN060102010)","2/17/2026","In Cart"
"10","Power System","MEGA fuses (Lynx branches + F-07 shared pool)","63.91","user_filled","[24V_CANDIDATE_STATUS:SWAP] Replace 48V-only fuse-voltage assumptions with 24V candidate branch classes (typically 32V where valid) and updated amp values.","2/17/2026","In Cart (125a x 5 purchased)"
"11","Power System","High-current fuse holder hardware (installed)","28.3","user_filled","[24V_CANDIDATE_STATUS:SWAP] Update holder mix for 24V branch protection and residual 12V converter path only.","2/17/2026","In Cart"
"16","Power System","12v fuse panel + branch/spare blade fuses","15","ai_set","Fuse Block, 12v Fuse Box Holder with LED indicator and integrated negative bus (12V/24V). Use panel main + stud as 12V source-combine point and panel integrated negative bus/main - as shared return (no separate 12V negative busbar required).","2/17/2026","In Cart"
"26","Power System","Alternator Charger Remote","108","ai_set","[24V_CANDIDATE_STATUS:KEEP] BBR remote retained for Sterling current-limit control and thermal management.","2/17/2026","In cart"
"27","Power System","Starlink DC DC PS","65","user_filled","Starlink DC Power Supply","2/17/2026","planned"
"117","Power System","48V battery-side combine busbars","48","ai_set","[24V_CANDIDATE_STATUS:KEEP] Keep covered battery-side combine busbars; relabel and re-coordinate ratings for 24V candidate.","2/17/2026","In Cart"
"7","Power System","Battery Class T Protection (Lynx plan)","229.96","user_filled","[24V_CANDIDATE_STATUS:SWAP] Re-coordinate Class T values and holder family for 24V bank branch currents; keep source-near placement.","2/18/2026","purchased"
